Sonnet Number,Variation Number,Variation Text
20,2,"A lady's countenance, by Nature's hand engraved,
You are, my sole obsession's captain;
A gentle soul in feminine form, uncraved
By fleeting trends, as false women's habit.
Bright stars outshine the lesser lights they cast,
More honest in their revolution's trace;
A spectrum's lord, in you, they're bound and tied,
Mesmerizing souls and captivating gaze.
Initially designed for women's allure,
Till Nature, smitten, fell to adoration;
With your addition, she my purpose obscure,
By adding one, and thus creating naught.
Still, as you're fashioned for their admiration,
Take my love; their treasure, your devotion.

"
20,3,"A face of womanhood, by Nature's touch imbued,
You are, my sole desire's commander;
A tender heart, in feminine guise, unloosed
From fleeting shifts, as changeable women's manner.
A gaze that outshines theirs, less prone to feign,
Gilding the object of its fascination;
A hue to rule all hues, in you contained,
Entrancing hearts and captivating adoration.
First shaped for women's joy, you were, until
Nature, in her work, fell powerless;
By your addition, she my purpose nullified,
By adding one, and thus creating emptiness.
Yet, as you're meant for women's purest pleasure,
Take my love; their treasure, your true measure."
21,1,"In similitude, my muse and I partake
Of inspirations drawn from beauty's grace,
Where heaven's adornments for adornment make
A match of equals in the vast embrace.
With sun and moon, with earth and sea's rich treasure,
With spring's initial blooms and rarities,
I find my words entwined in love's sweet pleasure,
Comparing thee to nature's majesties.
Believe me, my love, when I say with truth,
Thy beauty equals that of heaven's heirs,
Though not as stars, in firmament aloof,
Thy worth outshines their cold and distant flares.
  Let others sing the praises they desire;
  I'll celebrate the love that I inspire.

"
21,2,"As poets wooed by beauty's allure,
Our muse and I find kindred inspiration,
Where heaven's ornaments and earthly lure
Blend in a dance of sweet creation.
With celestial bodies, gems, and flowers,
I sing of love that knows no equal peer,
A bond of hearts entwined like ivy towers,
Adorning each other's presence dear.
My love, I pen my words with honesty,
For thou art fair as any child of light,
Though not as stars, whose brilliance I can't see,
Thine eyes outshine their distant, cold respite.
  Let others claim the praises they prefer;
  My song is thine, and thine alone, my ver.

"
21,3,"With ardor kindled by a muse divine,
I join the poet's chorus, singing praise,
Where heaven's ornaments and earth entwine
In splendid tapestry of loved-filled days.
With sun and moon, with earth and sea's rich gems,
With spring's first blossoms and celestial fire,
I find my heart's refrain in love's sweet hymns,
Comparing thee to nature's truest lyre.
My love, I write with fidelity,
For thou art fair as any heaven's sphere,
Though not as stars, whose distant glow I see,
Thy love outshines their cold and distant cheer.
  Let others raise their voices to acclaim;
  My heart's song is for thee, in love's sweet name."
22,1,"My crystal gaze does not concede age,
While youth and you share the same hourglass,
But when your visage bears time's ravage,
I see death's claim upon my fleeting hours' pass.
For all the beauty cloaking your form,
Is but the gracious shroud of my soul's core,
Which in your spirit dwells, as mine in you transforms,
How then may I be ancient before?
Oh, thus, sweetheart, guard thyself with caution,
As I, for your sake, shall bear the cost,
Cherishing your heart, with vigilance cautioned,
As a devoted nurse would her cherished host.
  Fear not to claim my heart, for it is thine,
  Given freely, and never to rescind.

"
22,2,"My looking glass cannot deceive, nor lie,
Yet as long as youth and you both coincide,
It whispers not of age, nor tells me nigh,
The moment when our shared years must divide.
When furrows etched by Time I chance to witness,
In your fair countenance, then to myself I say,
My days are numbered, and soon I'll be remiss,
In keeping pace with you, who hold them at bay.
The beauty gracing your visage, so bright,
Is but the resplendent veil of my own heart,
Which in your tender care, finds sweet delight,
In every beat, a testament of our start.
  So, love, protect yourself, as I shall thee,
  Our hearts entwined, forever wild and free.

"
22,3,"My mirror's truth does not yet show my age,
While we, in the bloom of youth, remain united,
But when your face, by Time's cruel hand engaged,
Reveals the years, I too shall feel affrighted.
For all the charm that clothes your form divine,
Is but the gilded casing of my heart's true grace,
Which in your breast does dwell, and intertwine,
A dance of love, that time cannot erase.
How then could I, in this union, age,
When every glance, each touch, revives our bond?
Love, let us vow, with hearts on every page,
To stand as one, through Time's relentless march, beyond.
  Preserve your heart, as I shall mine,
  Two souls entwined, forever thine, forever mine."
23,1,"Like a flawed thespian on the stage,
Afraid, his role left in the wings;
Or fierce, too much force in his gauge,
His might overwhelming, heart it stings.
So I, in love's dread, forget the verse,
My strength becomes my own defeat,
Overwhelmed, I begin to rehearse
The crumbling sonnet at my feet.
Let now my writings speak my heart,
Silent ambassadors they'll be,
Ardor and yearning to impart,
A love-language, wild and free.
In love's fine wit, with eyes, discern
The silent sonnets we've yet to learn.

"
23,2,"As an unpolished player on the scene,
With dread contending for his part,
Or something fierce, its rage extreme,
Weakened by strength, tearing it apart.
So I, in love's terror, fail to say
The sacred words of love's own rite,
In love's own might, I start to fray,
Overwhelmed, I lose my sight.
Oh, let my written words speak truth,
Messengers of my heart's deep plea,
Beyond the tongue, they'll find their youth,
A love-story waiting to be.
In love's fine art, with eyes, perceive
The silent sonnets we have yet to conceive.

"
23,3,"Like a hesitant performer on the platform,
His fear usurping lines destined for his heart,
Or something fierce, consumed by its own diagram,
Strength's excess, a weakness to impart.
So I, in love's anxiety, forget to convey
The well-rehearsed liturgy of love's own dance,
In love's own power, I start to fray,
Overcharged, I lose my chance.
Oh, let my written words be the evidence,
Silent heralds of my heart's true quest,
Speaking for love, no need for recompense,
A tale of love, passionally expressed.
In love's fine sense, with eyes, discern
The silent sonnets we have yet to learn."
24,1,"Through my gaze, your form in my heart's table is laid,
A frame of flesh holds the beauty you've made.
Perspective, the painter's finest skill,
In my heart's canvas, your image is displayed.

To perceive the art, one must see the artist's hand,
In my heart, your portrait remains, forever grand.
Through my eyes, a window to my core,
Your reflection graces what was before.

My sight captured your essence, you mirrored mine,
Two frames of vision, a bond divine.
Yet, our eyes, though clever, cannot fathom the soul,
Two windows, revealing but never make whole.

Though sight plays its part, it cannot truly impart,
The depth of the heart, forever separate.

"
24,2,"My eye, the artist, has captured your grace,
In my heart's gallery, you have a place.
Framed by my body, your beauty resides,
Perspective, the brushstroke that carefully hides.

The painter's art, in my heart, you'll find,
A true image of you, forever enshrined.
Eyes, the windows, reveal the artist's intent,
In my heart, your portrait, lovingly lent.

Eyes for eyes, a mirror's exchange,
In this dance of vision, we rearrange.
My sight captures your form, your vision, my art,
Two frames of affection, tearing down walls apart.

Yet, our eyes, though they see, cannot reach within,
Two windows that witness, but never truly win.

"
24,3,"My eye, the painter, has sketched your delight,
In my heart's gallery, you are the light.
Framed by my being, your beauty I keep,
Perspective, the veil, in which it's concealed deep.

The painter's craft, in my heart, is unfurled,
A true image of you, in this hidden world.
Eyes, the windows, reveal the artist's creation,
In my heart, your portrait, in admiration.

Eyes for eyes, a reflection's play,
In this dance of vision, we sway.
My sight captures your essence, your vision, my art,
Two frames of affection, drawing us apart.

Yet, our eyes, though they see, cannot grasp the soul,
Two windows that witness, but never take control."
